2015-10-27T17:38:06.723174Z|GF_Agie_1_78_asset_chg|.5_4FLT.-FIN
2015-10-27T17:38:06.723313Z|GF_Agie_1_78_asset_chg|.220_DRL
2015-10-27T17:38:06.723453Z|GF_Agie_1_78_asset_chg|.390_DRL
2015-10-27T17:38:06.723591Z|GF_Agie_1_78_asset_chg|45DEG.SING-FLT
2015-10-27T17:38:06.723732Z|GF_Agie_1_78_asset_chg|.234DRL_.25-28RF
2015-10-27T17:38:06.723872Z|GF_Agie_1_78_asset_chg|.120_DRL
2015-10-27T17:38:06.724014Z|GF_Agie_1_78_asset_chg|.201DRL
2015-10-27T17:38:06.724155Z|GF_Agie_1_78_asset_chg|10-24TAP
2015-10-27T17:38:06.724294Z|GF_Agie_1_78_asset_chg|TOUCH-PROBE
2015-10-27T17:38:08.340633Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:08.484677Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:12.396851Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:12.540711Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:13.404648Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:13.548632Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:13.837102Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:13.980834Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:14.124718Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:14.268633Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:14.845339Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:14.988839Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:15.276724Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:15.420585Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:17.004786Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:17.148730Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:17.292726Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:17.869346Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:18.014716Z|Zposition|12.87824
2015-10-27T17:38:18.156567Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:18.158672Z|Zposition|12.87823
2015-10-27T17:38:18.300752Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:18.444588Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:18.588716Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:18.877375Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:19.020795Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:19.164641Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:19.452758Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:19.890544Z|Zposition|12.87824
2015-10-27T17:38:20.028693Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:20.031191Z|Zposition|12.87823
2015-10-27T17:38:20.172872Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:20.316676Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:20.604665Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
2015-10-27T17:38:20.748662Z|path_pos|-1.3488000000 -3.0668900000 0.2217400000
2015-10-27T17:38:23.052744Z|path_pos|-1.3488100000 -3.0668900000 0.2217400000
